score_raw,score_transform,age
918.624130993752,653.12940231539,30
918.532511291147,652.501615119448,40
918.45788060419,652.086913010869,50
918.43679589685,651.858237017467,60
918.421688498064,651.779000492726,70
918.316287897054,651.14048316572,30
918.292294339905,650.951999322289,40
918.239421481019,650.547389900313,50
918.136172490012,649.979952899541,60
918.097884148537,649.710947889712,70
918.069393533526,649.404865895339,30
917.984105153781,648.967273397669,40
917.885428207114,648.402453153187,50
917.809301949196,647.976479998075,60
917.557365938082,646.595798465613,70
917.498608439488,646.257265132263,30
917.367704806203,645.605183820626,40
917.211188975471,644.820986892829,50
917.145351946584,644.374872252617,60
917.091495909196,644.097772681881,70
917.059046169184,643.770155807119,30
917.031698496506,643.602242927825,40
916.87411103458,642.652615462827,50
916.820667835042,642.376554926159,60
916.809862335707,642.144864433476,70
916.752832850992,641.609000360184,30
916.693161401551,641.18736157037,40
916.651702005817,640.956711248576,50
916.638010413842,640.799637727711,60
916.551064216018,640.319540825179,70
916.335427767178,639.284282816569,30
916.303367712952,639.078209801307,40
916.25470848033,638.830075924831,50
916.238272490565,638.7245737176,60
916.181376017005,638.419225663889,70
916.053328615017,637.545634167305,30
916.028679892661,637.398466842268,40
915.937562867985,636.817508368373,50
915.777609295991,635.996523012185,60
915.581382079213,635.017773924644,70
915.566767268216,634.944904737427,30
915.541599904879,634.71063855128,40
915.499285332357,634.457599905917,50
915.489331218561,634.337214525395,60
915.439932196507,634.013473741492,70
915.416815678264,633.876977546005,30
915.381930310466,633.637064142472,40
915.306091583508,633.112278735506,50
915.143646623151,632.304708748978,60
915.126648579401,632.17448001085,70
915.093199094836,631.959476025435,30
914.993950294808,631.464440094829,40
914.959720400602,631.264090908837,50
914.8904956349,630.91120261441,60
914.846280922522,630.621981166598,70
914.832192461256,630.554543677657,30
914.737882077524,629.96605345365,40
914.709448752016,629.736564679177,50
914.6979284554,629.593140517932,60
914.677444653513,629.425615573793,70
914.651882092926,629.310144393022,30
914.637944154543,629.127215567928,40
914.605533610348,628.885975502437,50
914.562772292017,628.565302941966,60
914.526483187228,628.25847521072,70
914.427637433865,627.559184939466,30
914.352484987923,627.177715232289,40
914.315320222677,626.925052070511,50
914.272752824934,626.632325096722,60
914.224162430837,626.361454672722,70
914.106547135786,625.644824693845,30
913.999139095376,625.094714035327,40
913.987669213063,624.975361146743,50
913.952243961524,624.486523799655,60
913.912982365499,624.268167425417,70
913.890780769188,624.111973246173,30
913.886368141791,623.998675944932,40
913.764596474214,623.323716053149,50
913.714588859392,622.889561001871,60
913.681619577605,622.729931101128,70
913.655975447099,622.40573812233,30
913.647300476551,622.241570631264,40
913.610801296801,622.048564420905,50
913.547162543187,621.553100037694,60
913.537779563527,621.490079612329,70
913.437742133486,620.740820691073,30
913.424066608811,620.657082585093,40
913.400339781144,620.474961473129,50
913.369818221897,620.2748186498,60
913.342392887408,620.021987371469,70
913.266693529744,619.636709559268,30
913.209428795081,619.29222001386,40
913.167936812775,619.080604051978,50
913.139624729682,618.891181169149,60
913.099613374306,618.642010975681,70
913.08083106596,618.543245447346,30
913.04565824162,618.35027721224,40
913.029834189007,618.198453278677,50
912.956754935546,617.759908432636,60
912.905786149338,617.498650860863,70
912.863236110249,617.255032426274,30
912.821698009586,617.035691015886,40
912.765598787211,616.753725183987,50
912.723495672421,616.327136811309,60
912.697232399544,616.143270010063,70
912.6654486371,615.993774751952,30
912.585137135864,615.585322068467,40
912.564729164868,615.391542452372,50
912.50661216494,615.049707904842,60
912.369697600422,614.341617572142,70
912.276775952441,613.761555926333,30
912.253898448835,613.635007208772,40
912.222544150599,613.448275521708,50
912.177008478054,613.112613143842,60
912.047682377132,612.531857948506,70
911.916755620951,611.870242306041,30
911.903469132075,611.781550197553,40
911.744001949177,610.963347404959,50
911.72715173229,610.728229551735,60
911.676748680766,610.478950857764,70
911.660510640174,610.187588796428,30
911.601065634476,609.84488167641,40
911.578239561667,609.685624285356,50
911.517970137927,609.371578207936,60
911.42756188986,608.937191666431,70
911.396148629869,608.788791918636,30
911.358896514444,608.613064019087,40
911.338885491262,608.40004562127,50
911.183847364906,607.710478662247,60
911.124206997773,607.421396801917,70
911.014517045435,606.757933909239,30
910.968218007907,606.543305706701,40
910.909235593922,606.266567695471,50
910.815083292055,605.784641597162,60
910.787301802468,605.539608110644,70
910.75721604801,605.268211823494,30
910.674068443021,604.84913955108,40
910.614235584347,604.483537790601,50
910.445119046891,603.733845487765,60
910.387240790602,603.449504098972,70
910.348952964902,603.26196876741,30
910.207712308723,602.653279843945,40
910.148634406508,602.313715128617,50
910.108652352059,602.117032230633,60
910.074406079622,601.801716175167,70
909.999351525305,601.420753451611,30
909.969192371718,601.269765776022,40
909.921992099835,600.995833761553,50
909.868390682979,600.759923393695,60
909.824257695593,600.561007850461,70
909.813572089997,600.336719830349,30
909.745333550956,599.764634076519,40
909.736836317259,599.660707971232,50
909.695059873205,599.439645660703,60
909.630496803598,599.0815512977,70
909.523921405865,598.6206375577,30
909.329275818069,597.709131013611,40
909.311320205796,597.581306759706,50
909.286773768735,597.408386601553,60
909.201609416059,597.022054424006,70
909.158584221507,596.784863905409,30
909.058516977671,596.311662167585,40
908.971089105267,595.945937174535,50
908.835992685271,595.300458233878,60
908.776121543058,595.038128880187,70
908.635914407272,594.455906369727,30
908.621703547138,594.382372049771,40
908.607828804663,594.271839908227,50
