score_raw,score_transform,age
873.406358915986,636.964230758105,40
873.251749071235,636.508719831027,50
873.241860476045,636.477455598083,60
873.043905295353,635.924788225278,70
872.940795347859,635.58953973675,30
872.846640849449,635.28211906,40
872.462979702282,634.229264960735,50
872.323654956864,633.855521469203,60
872.25073431415,633.651671135186,70
872.156623218817,633.372605166702,30
871.879000751985,632.625311779726,40
871.594885130911,631.913546058913,50
871.515052390153,631.68027438077,60
871.276391230217,631.029684863607,70
871.199614634227,630.795548184477,30
871.163060043354,630.659642751506,40
871.047350315284,630.334550793222,50
870.946808509343,630.014445694225,60
870.831342113639,629.705840103395,70
870.709758462665,629.283036494265,30
870.527552153146,628.786381093374,40
870.4187888122,628.447295426486,50
870.355302026555,628.205384557714,60
870.154745826549,627.616544242681,70
870.081905585967,627.425519716311,30
870.059458361087,627.360161898498,40
869.901461525659,626.9413646349,50
869.635827544263,626.257268273518,60
869.434790883587,625.75560411046,70
869.199019184643,625.138075486982,30
869.022750731491,624.645507194999,40
868.842075688888,624.200771906977,50
868.74418899312,623.881995677198,60
868.734756587514,623.8556395803,70
868.3092919598,622.793035318364,30
868.225664878787,622.539510418997,40
868.198635530625,622.441277975838,50
868.114834046761,622.216564113265,60
867.93363049182,621.666895895422,70
867.646174025111,620.854553839234,30
867.624247087229,620.781331211172,40
867.385458106437,620.205875008938,50
867.282716639921,619.931005531575,60
867.207590181962,619.750525677511,70
867.105814856071,619.464578472878,30
866.866482925693,618.894076602807,40
866.813389566072,618.751192556497,50
866.763103224496,618.631883808582,60
866.513772138614,618.017641035246,70
866.451386854051,617.840441543493,30
866.377625499843,617.61358526821,40
865.973603294935,616.494406889164,50
865.887085540932,616.257894485383,60
865.869704038133,616.208090958938,70
865.80064538983,616.015135614906,30
865.364970192582,614.92417726505,40
865.241998396191,614.558530731573,50
865.17002107236,614.341968112277,60
864.966226198339,613.868060989522,70
864.833663818428,613.513075513252,30
864.807444563292,613.440223722004,40
864.743572231545,613.268411477411,50
864.678193356234,613.067891949881,60
864.570107447882,612.743372419595,70
864.520613725948,612.606169102096,30
864.220456805936,611.766314621236,40
864.10236059113,611.476186100672,50
864.004393651676,611.205793108448,60
863.899373809787,610.891672532843,70
863.793740786456,610.541039426319,30
863.695308562637,610.283771285549,40
863.654596450601,610.144995760085,50
863.529064325092,609.849477771812,60
863.444307839802,609.630885007188,70
863.401899001408,609.498362111677,30
863.272857632982,609.151964730704,40
863.236805655613,609.016774353348,50
863.168960092222,608.855488053271,60
863.102329613274,608.654858950664,70
862.775430417262,607.821388882843,30
862.749230975916,607.71344017957,40
862.690873278263,607.548369018577,50
862.614542654264,607.325595088599,60
862.441272882357,606.83326322051,70
862.352066847694,606.611276657556,30
862.280248471482,606.405438955809,40
862.214185491016,606.176459241334,50
862.198217113462,606.073788022776,60
862.097666568465,605.815591101419,70
861.814216521381,605.128641170565,30
861.666979998653,604.730441445515,40
861.470793097931,604.164383869119,50
861.378136338338,603.895271385208,60
861.353957975842,603.815023248289,70
861.3322631055,603.751633997076,30
861.222227627902,603.432419213726,40
861.113136604531,603.142172037538,50
860.968322609968,602.751063194837,60
860.953567573843,602.709081620533,70
860.839560942952,602.407798438121,30
860.821036074237,602.350196454013,40
860.758854193446,602.194324995349,50
860.517971987731,601.643090960335,60
860.498866054101,601.573737596686,70
860.465964463731,601.487090915593,30
860.35082136401,601.203167486387,40
860.224596936943,600.870849854319,50
860.162368121059,600.66287409809,60
860.106709965241,600.506427041481,70
859.978645600327,600.189247059767,30
859.863833811757,599.896007306794,40
859.820201799788,599.737137867506,50
859.719838668765,599.462994304857,60
859.650938881833,599.293657665244,70
859.580122119108,599.092010293947,30
859.565868803125,599.026887590663,40
859.249453607881,598.292212817609,50
859.072014251383,597.895448070034,60
859.000332205022,597.707034425243,70
858.936725332853,597.535362645869,30
858.916835528012,597.476485606224,40
858.767471283836,597.064715696141,50
858.748156636742,597.005936634702,60
858.665406556157,596.786066595837,70
858.612782767237,596.614302560196,30
858.564417087665,596.492092201753,40
858.485069079804,596.286585680562,50
858.460717191109,596.198440455555,60
858.359232939933,595.933495616724,70
858.167236777336,595.439404955428,30
858.119941829513,595.257622301226,40
858.030631469575,595.063644436712,50
858.000110201174,594.966667955277,60
857.944860386316,594.823046129074,70
857.701309498447,594.264802925179,30
857.679430197393,594.206011676332,40
857.576376857557,593.901322740463,50
857.487953322427,593.67909565767,60
857.401523198098,593.470276968295,70
857.277102609435,593.201855244242,30
857.11214646948,592.793521721057,40
856.87568320495,592.265246934437,50
856.82284349588,592.146013366159,60
856.792862333549,592.077336549402,70
856.686015995673,591.763035072869,30
856.633919693956,591.65031062965,40
856.570247543672,591.489549168224,50
856.520982714138,591.337099978634,60
856.414633401117,591.082313229373,70
856.396265154434,591.038538883859,30
856.334014916786,590.880520437135,40
856.126445559121,590.436726402699,50
856.090390383737,590.33107902953,60
856.072099344554,590.28792484506,70
856.028316272602,590.154669181313,30
855.938307710011,589.938232283475,40
855.843127512692,589.71810121308,50
855.803346710987,589.556685454362,60
855.735808282454,589.372751042344,70
855.687494858253,589.247835479067,30
855.54768903694,588.902297763063,40
855.47934858886,588.689545884301,50
855.090817365747,587.826650967586,60
854.879946572541,587.324678388669,70
