SEX,AGE,score_raw,score_transform
2,30,996.787881129876,934.577377663015
2,30,996.782293399027,934.47672477398
2,30,996.779568355774,934.392605997617
2,30,996.772349407724,934.210287528922
2,30,996.76947519363,934.083295360683
2,30,996.768206444437,933.922170922194
2,30,996.763797054119,933.734297901808
2,30,996.762926826254,933.66289802409
2,30,996.757708669614,933.310679086459
2,30,996.754733305017,933.213921416304
2,30,996.752098437192,933.158339169756
2,30,996.747622431977,933.033534770723
2,30,996.745287856848,932.821711604513
2,30,996.735792683352,932.633608980418
2,30,996.733496911687,932.501982004609
2,30,996.73009525832,932.369812435841
2,30,996.724693790791,932.212873773554
2,30,996.715952101149,932.009727155133
2,30,996.713873120724,931.927540729441
2,30,996.71050701676,931.83157493008
2,30,996.704691711425,931.590335427522
2,30,996.698585598325,931.32138521951
2,30,996.692219684127,930.995086724939
2,30,996.688454586656,930.909716316789
2,30,996.686665578205,930.854799959095
2,30,996.682865495292,930.6139333356
2,30,996.67009369432,930.391889075062
2,30,996.665840014897,930.335226770604
2,30,996.66078082761,930.193955269879
2,30,996.651792430547,929.838221609798
2,30,996.649718440519,929.723253081722
2,30,996.640221211107,929.420593447026
2,30,996.638101623476,929.364202740018
2,30,996.635040455023,929.028390955057
2,30,996.630405202798,928.812381897826
2,30,996.619741311545,928.278986656907
2,30,996.61502318841,928.201225340577
2,30,996.608406468145,928.05889890112
2,30,996.60738022685,927.960853747514
2,30,996.604864414123,927.592969518196
2,30,996.601452265677,927.505007958612
2,30,996.59370390675,927.402212353965
2,30,996.588319714315,927.310029428314
2,30,996.577518235407,927.102092597761
2,30,996.575527679621,926.933172788352
2,30,996.565811178809,926.765887495674
2,30,996.56128886106,926.345888591184
2,30,996.552401656919,926.051110287995
2,30,996.545260565687,925.896334766989
2,30,996.540431426563,925.717707379691
2,30,996.535979227407,925.534508401313
2,30,996.527118513585,925.366893906749
2,30,996.525803725027,925.225208358672
2,30,996.524158773832,924.964176434489
2,30,996.520843642565,924.831948618919
2,30,996.509177875117,924.435552390225
2,30,996.502921097107,924.264460893119
2,30,996.497047095942,924.123080025949
2,30,996.49634147519,924.019679279712
2,30,996.487557302242,923.759718189725
2,30,996.484415606996,923.649727618277
2,30,996.483708810444,923.585292011584
2,30,996.482710383764,923.535716986324
2,30,996.473797294916,923.352058788238
2,30,996.471446454617,923.247485421537
2,30,996.467710500214,923.097503324777
2,30,996.461478113065,922.983155801487
2,30,996.45787907253,922.895039513746
2,30,996.454416137862,922.661326411793
2,30,996.443613488244,922.056093021524
2,30,996.439318176793,921.986795820417
2,30,996.432922224744,921.750193118148
2,30,996.420647319927,921.493301422847
2,30,996.417244584274,921.406994261772
2,30,996.409269342695,921.08357967044
2,30,996.403866291772,920.864722513229
2,30,996.398105141372,920.644852003486
2,30,996.390572728189,920.465259860148
2,30,996.385233780654,920.262207419572
2,30,996.374084644604,920.001766352523
2,30,996.370492716868,919.855065324705
2,30,996.36906111952,919.743742211427
2,30,996.364249426105,919.643212024589
2,30,996.361847603584,919.540764501188
2,30,996.359183292912,919.491708911219
2,30,996.357256655631,919.443458981531
2,30,996.350130382655,919.20836607216
2,30,996.342331559516,919.017558817137
2,30,996.318209785714,918.558334117376
2,30,996.317609223996,918.453935042093
2,30,996.316823749346,918.347799156438
2,30,996.312557368304,918.23376572063
2,30,996.304941216017,917.985036377846
2,30,996.296031417589,917.661660938047
