SEX,AGE,score_raw,score_transform
1,30,994.224484684124,893.064588449706
1,30,994.214474431695,892.665160225369
1,30,994.203479850684,892.402503144018
1,30,994.184055391287,892.182951011147
1,30,994.177367436513,891.783677795008
1,30,994.168446974493,891.685250524879
1,30,994.145678074132,891.342692447454
1,30,994.117297499549,891.0488579963
1,30,994.10000339679,890.714107970331
1,30,994.080083062897,890.241410134377
1,30,994.065545994739,890.030693143225
1,30,994.031310910902,889.183615412191
1,30,994.015955920754,888.706451022474
1,30,993.990070122489,887.971618049924
1,30,993.987889614818,887.849515568374
1,30,993.964867867002,887.508431341968
1,30,993.95562008618,887.247422470004
1,30,993.946255288095,887.13706618139
1,30,993.928861010481,886.912537401196
1,30,993.918247046586,886.650662810611
1,30,993.912437005736,886.497568747424
1,30,993.9090390405,886.397808073849
1,30,993.901072636637,886.257041364896
1,30,993.895918713702,886.150617600126
1,30,993.880785814691,885.90327242595
1,30,993.872096387836,885.751454722178
1,30,993.849094685969,885.349919829652
1,30,993.838412627857,885.031908930063
1,30,993.83131628822,884.843663921871
1,30,993.809671978237,884.399302220675
1,30,993.80042192016,884.183503083894
1,30,993.777274176243,883.618827070443
1,30,993.772211610956,883.436799147785
1,30,993.755384048335,882.979716234143
1,30,993.748939511144,882.720338948689
1,30,993.734811113215,882.505207620346
1,30,993.698438133111,881.839790316242
1,30,993.688108848114,881.665341749132
1,30,993.637471842589,881.158695912886
1,30,993.624373208352,880.953545742694
1,30,993.581498447116,880.191796064583
1,30,993.562444168328,879.919217597926
1,30,993.536245438365,879.271760691896
1,30,993.527733879331,879.104602560892
1,30,993.489257332944,878.719950932718
1,30,993.478765522923,878.552860932235
1,30,993.445801259995,878.180603824796
1,30,993.441953228658,878.033997295739
1,30,993.437455047382,877.913969572625
1,30,993.423318028265,877.203889429982
1,30,993.412227446084,876.998674826662
1,30,993.40495989255,876.813567590028
1,30,993.39486978194,876.542049512088
1,30,993.366839292359,876.268035912548
1,30,993.358444760669,876.036830566406
